estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
LogisticRegression,0.7317952415284787,0.7447359630454805,0.7570621468926553,0.01032431980265659,0.01,200,l2,newton-cg,,,,,,,
LogisticRegression,0.7317952415284787,0.7447359630454805,0.7570621468926553,0.01032431980265659,0.01,300,l2,lbfgs,,,,,,,
LogisticRegression,0.7317952415284787,0.7447359630454805,0.7570621468926553,0.01032431980265659,0.01,400,l2,lbfgs,,,,,,,
LogisticRegression,0.7317952415284787,0.7447359630454805,0.7570621468926553,0.01032431980265659,0.01,400,l2,newton-cg,,,,,,,
LogisticRegression,0.7317952415284787,0.7447359630454805,0.7570621468926553,0.01032431980265659,0.01,200,l2,lbfgs,,,,,,,
SGDClassifier,0.732007233273056,0.7447163799541979,0.7594757350336522,0.011307288596309672,,400,l2,,0.1,modified_huber,,,,,
LogisticRegression,0.7324450846236947,0.744714141549799,0.7570621468926553,0.010050028634382124,0.01,400,l2,saga,,,,,,,
SVC,0.7397064088793411,0.7446658899880817,0.750088621056363,0.004251159278435007,0.01,,,,,,linear,,,,
LogisticRegression,0.7281205164992826,0.7446450596683184,0.7579393083980239,0.01238591106052053,10,100,l2,lbfgs,,,,,,,
LogisticRegression,0.7324450846236947,0.7444524604709265,0.7557440791799223,0.009525230287451733,0.01,200,l2,saga,,,,,,,
LogisticRegression,0.7301699716713881,0.7443728666782924,0.7589599437807448,0.011756595891279918,10,200,l2,lbfgs,,,,,,,
LogisticRegression,0.7310742609949531,0.7443492876959553,0.7566231013776051,0.010454269681399665,0.01,100,l2,lbfgs,,,,,,,
LogisticRegression,0.7329013678905687,0.7442750896228306,0.7553041018387553,0.009149125297946908,0.01,100,l2,saga,,,,,,,
LogisticRegression,0.7323741007194244,0.7439885937106124,0.7538896746817539,0.008866860259601391,0.01,200,l2,liblinear,,,,,,,
LogisticRegression,0.7323741007194244,0.7439885937106124,0.7538896746817539,0.008866860259601391,0.01,300,l2,liblinear,,,,,,,
LogisticRegression,0.7323741007194244,0.7439885937106124,0.7538896746817539,0.008866860259601391,0.01,100,l2,liblinear,,,,,,,
LogisticRegression,0.7323741007194244,0.7439885937106124,0.7538896746817539,0.008866860259601391,0.01,400,l2,liblinear,,,,,,,
LogisticRegression,0.7336399009550761,0.7435386318576186,0.7545839210155149,0.008588711232298086,10,400,l2,lbfgs,,,,,,,
LogisticRegression,0.7290049400141143,0.7430494918553018,0.7611364433532093,0.013425451524276731,10,300,l2,lbfgs,,,,,,,
RidgeClassifier,0.731432594156987,0.7429470249273634,0.7529244948599787,0.00884108347128797,,,,,0.7,,,,,,
LogisticRegression,0.7322249734701096,0.7429198968332313,0.7539007092198582,0.008851390831334644,10,400,l2,liblinear,,,,,,,
LogisticRegression,0.7322249734701096,0.7429198968332313,0.7539007092198582,0.008851390831334644,10,100,l2,liblinear,,,,,,,
LogisticRegression,0.7322249734701096,0.7429198968332313,0.7539007092198582,0.008851390831334644,10,300,l2,liblinear,,,,,,,
LogisticRegression,0.7322249734701096,0.7429198968332313,0.7539007092198582,0.008851390831334644,10,200,l2,liblinear,,,,,,,
LogisticRegression,0.732484076433121,0.7429184203891762,0.7539007092198582,0.008751884470204472,10,100,l2,newton-cg,,,,,,,
LogisticRegression,0.732484076433121,0.7429184203891762,0.7539007092198582,0.008751884470204472,10,400,l2,newton-cg,,,,,,,
LogisticRegression,0.732484076433121,0.7429184203891762,0.7539007092198582,0.008751884470204472,10,300,l2,newton-cg,,,,,,,
LogisticRegression,0.732484076433121,0.7429184203891762,0.7539007092198582,0.008751884470204472,10,200,l2,newton-cg,,,,,,,
SGDClassifier,0.7371888726207906,0.7421269896435082,0.7496589358799454,0.005411197151234275,,600,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.7328840014189429,0.7421244711500385,0.7528716770594026,0.008229195376229412,,300,l2,,0.4,modified_huber,,,,,
RidgeClassifier,0.7316901408450704,0.7420614119067462,0.748936170212766,0.00746215265303087,,,,,0.6,,,,,,
RidgeClassifier,0.7306610407876231,0.7420127474185211,0.7487579843860893,0.008074218805180632,,,,,0.5,,,,,,
RidgeClassifier,0.733123469744666,0.7416817790158127,0.7494707127734649,0.006695871497732862,,,,,0.3,,,,,,
RidgeClassifier,0.7321178120617111,0.7416398862357321,0.7498228206945429,0.007289801280089935,,,,,0.4,,,,,,
SGDClassifier,0.7409470752089137,0.7415263448676668,0.7419712070874863,0.0004287660946699037,,300,l2,,0.2,modified_huber,,,,,
