estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
LogisticRegression,0.7284390591589451,0.7373951450820396,0.7501749475157452,0.0092764151348086,10,100,l1,liblinear,,,,,,,
LogisticRegression,0.7288920555753473,0.7372495045035947,0.7497374868743437,0.008997369297004256,10,200,l1,liblinear,,,,,,,
SVC,0.7207009857612268,0.7354920782314568,0.7503556187766713,0.012106561619299691,0.01,,,,,,linear,,,,
SGDClassifier,0.709775580068467,0.7335421017239492,0.7520055807464249,0.0176434111439312,,700,l2,,0.1,modified_huber,,,,,
SGDClassifier,0.7158206743238237,0.7319328962487136,0.7540214477211796,0.016157808394807283,,600,l2,,0.1,modified_huber,,,,,
SGDClassifier,0.7232267037552156,0.7294030005478378,0.7340876944837341,0.004557699654642013,,100,l2,,0.1,modified_huber,,,,,
SGDClassifier,0.7149617764834364,0.7277007628593575,0.7387218045112782,0.009775760278259622,,500,l2,,0.2,perceptron,,,,,
SGDClassifier,0.7119279819954988,0.7258273173516714,0.7520604395604394,0.018560626087579128,,200,l2,,0.1,modified_huber,,,,,
SGDClassifier,0.7141251405020608,0.7256568859076197,0.7437609841827768,0.012960650044110362,,500,l2,,0.1,modified_huber,,,,,
AdaBoostClassifier,0.7115592365862441,0.7235325140750578,0.7459762071378586,0.015881942937534834,,,,,,,,,,210,
SGDClassifier,0.7093954843408595,0.7231437944670497,0.7445887445887447,0.015363812290230313,,300,l2,,0.2,modified_huber,,,,,
LogisticRegression,0.7101922379397895,0.7226411710818712,0.7357695010541111,0.01045291927786782,0.01,300,l2,liblinear,,,,,,,
LogisticRegression,0.7101922379397895,0.7226411710818712,0.7357695010541111,0.01045291927786782,0.01,200,l2,liblinear,,,,,,,
LogisticRegression,0.7101922379397895,0.7226411710818712,0.7357695010541111,0.01045291927786782,0.01,400,l2,liblinear,,,,,,,
LogisticRegression,0.7101922379397895,0.7226411710818712,0.7357695010541111,0.01045291927786782,0.01,100,l2,liblinear,,,,,,,
SGDClassifier,0.7093488541287741,0.7223382346388165,0.7352433551950294,0.010571553691311979,,500,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.694954128440367,0.7217420852733829,0.7403973509933776,0.019422960940692076,,100,l2,,0.2,modified_huber,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,300,l2,newton-cg,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,100,l2,sag,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,400,l2,saga,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,100,l2,saga,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,400,l2,sag,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,400,l2,newton-cg,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,400,l2,lbfgs,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,200,l2,newton-cg,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,100,l2,lbfgs,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,200,l2,lbfgs,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,100,l2,newton-cg,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,300,l2,sag,,,,,,,
